"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,9.66416904622593,0.409,0.002,0,"3","Tbx1"
0,9.46907918304855,0.332,0.001,0,"3","Fgd5"
0,9.30606573282074,0.441,0.002,0,"3","Sox17"
0,9.1476731008353,0.306,0.002,0,"3","Scgb3a1"
0,9.07747548206108,0.559,0.003,0,"3","Foxq1"
0,9.06198776361306,0.753,0.024,0,"3","Ly6c1"
0,9.00488342903863,0.662,0.006,0,"3","9430020K01Rik"
0,8.97312027641625,0.75,0.014,0,"3","Igfbp7"
0,8.85403669185405,0.774,0.028,0,"3","Itm2a"
0,8.8443980975721,0.635,0.005,0,"3","Mal"
0,8.8361571031056,0.371,0.002,0,"3","Mmrn2"
0,8.81344714505168,0.374,0.002,0,"3","Hmgcs2"
0,8.80783564522747,0.75,0.032,0,"3","Cldn5"
0,8.80686452179604,0.618,0.005,0,"3","Emcn"
0,8.78589193643079,0.388,0.001,0,"3","C130074G19Rik"
0,8.76448934434853,0.703,0.012,0,"3","Ptprb"
0,8.65243210380046,0.468,0.002,0,"3","Sema3c"
0,8.6329703831162,0.362,0.002,0,"3","Wfdc1"
0,8.62753706099004,0.694,0.007,0,"3","Esam"
0,8.62674082494969,0.644,0.007,0,"3","Eltd1"
0,8.61370097220732,0.329,0.002,0,"3","Robo4"
0,8.61120113287983,0.529,0.004,0,"3","Tmem252"
0,8.5998149727759,0.694,0.007,0,"3","Gpr116"
0,8.59937080836454,0.547,0.009,0,"3","Cxcl12"
0,8.56870589815678,0.309,0.002,0,"3","Acer2"
0,8.5608641017654,0.571,0.006,0,"3","Car4"
0,8.54361111333001,0.371,0.002,0,"3","Tie1"
0,8.53888762791701,0.476,0.003,0,"3","Paqr5"
0,8.52230463236342,0.435,0.003,0,"3","Slc38a5"
0,8.52154850902767,0.459,0.002,0,"3","Tek"
0,8.48788414565925,0.715,0.015,0,"3","Slco1a4"
0,8.47990008453304,0.6,0.006,0,"3","Spock2"
