"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.17983529130498e-27,1.21898925070586,0.352,0.271,2.10694986321242e-23,"0","Rapsn"
0,2.30825503329695,0.585,0.128,0,"1","Siglech"
8.28156323222627e-202,2.15305641457106,0.353,0.065,1.47892156201097e-197,"1","Sall1"
1.20784977059182e-221,1.9951059974409,0.515,0.141,2.15697812032288e-217,"1","Lag3"
0,1.85766422655404,0.93,0.409,0,"1","Sparc"
1.08814937000848e-144,1.85139502832531,0.313,0.072,1.94321714496114e-140,"1","Nav3"
3.09223126513838e-165,1.70610453023607,0.442,0.129,5.52210659328413e-161,"1","Gpr84"
1.15878802092881e-133,1.59079885602495,0.361,0.101,2.06936364777466e-129,"1","Slc12a2"
2.81567713521983e-202,1.46474866177998,0.691,0.274,5.02823622807558e-198,"1","P2ry12"
2.61402913560401e-168,1.46303433296407,0.437,0.119,4.66813323036164e-164,"1","Cd34"
9.21060241410297e-147,1.43873114602677,0.455,0.147,1.64482937911051e-142,"1","Tanc2"
8.10344462240996e-166,1.88190509744794,0.551,0.207,1.44711314066997e-161,"2","F7"
1.28061053619191e-280,1.72530627515884,0.898,0.468,2.28691429553152e-276,"2","Cd36"
1.16956659990743e-168,1.70343096989119,0.771,0.418,2.08861203411469e-164,"2","Fabp4"
3.31083681099687e-144,1.63962561445159,0.599,0.267,5.91249237707821e-140,"2","Il7r"
3.09939236631569e-34,1.54537654156759,0.458,0.311,5.53489488776656e-30,"2","Mfge8"
4.18099616995879e-180,1.520869648188,0.748,0.364,7.46642296031241e-176,"2","Anxa1"
0,1.51537298287995,1,0.948,0,"2","Lgals3"
5.54085775579236e-51,1.48064764259493,0.335,0.165,9.894863780294e-47,"2","Tfrc"
8.92021132874355e-162,1.42889729828442,0.884,0.6,1.59297133908702e-157,"2","Lpl"
2.18556840463262e-107,1.4134471593071,0.99,0.941,3.90298805699293e-103,"2","Ctsl"
0,6.53644494673583,0.563,0.011,0,"3","Esco2"
0,6.13801289358122,0.785,0.04,0,"3","Hist1h1b"
0,6.01901922190017,0.506,0.013,0,"3","Hist1h2ab"
0,6.00077731374395,0.533,0.013,0,"3","Hist1h3c"
0,5.79422824576241,0.327,0.008,0,"3","Ccne2"
0,5.67678802756078,0.321,0.006,0,"3","Hist1h1a"
0,5.64217151155747,0.649,0.028,0,"3","Hist1h2ap"
0,5.56682102564219,0.724,0.032,0,"3","Rrm2"
0,5.41554822977007,0.715,0.054,0,"3","Hist1h2ae"
