"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.79004719728137e-79,2.07150775504361,0.477,0.285,4.98246628490506e-75,"0","Mfge8"
1.01880988430169e-232,2.00760348534861,0.56,0.201,1.81939069138595e-228,"0","Plpp3"
2.56849966900672e-207,2.00645532098217,0.51,0.176,4.5868267089122e-203,"0","F7"
2.29897195704575e-197,1.78082549273382,0.612,0.282,4.10550412089231e-193,"0","Atp6v0d2"
3.11921988071991e-219,1.74354169385434,0.732,0.384,5.57030286298962e-215,"0","Fabp4"
7.28208598713363e-45,1.55640627700761,0.315,0.175,1.30043491558232e-40,"0","Gdf15"
3.32776778011021e-145,1.54164414432368,0.508,0.229,5.94272770172081e-141,"0","S100a8"
0,1.52245915832753,0.999,0.942,0,"0","Fabp5"
1.12974002267573e-158,1.51251758209387,0.545,0.238,2.01748973249433e-154,"0","Cd24a"
1.58620023757443e-166,1.51220050371264,0.79,0.545,2.83263638426042e-162,"0","S100a1"
2.00281879488369e-28,1.21755226431652,0.354,0.27,3.5766338039033e-24,"1","Rapsn"
1.04927486790016e-217,2.21497208557493,0.367,0.064,1.87379505909611e-213,"2","Sall1"
1.44046927637276e-230,2.03254022929498,0.528,0.141,2.57239003374647e-226,"2","Lag3"
2.55468929418666e-152,1.90266655429943,0.322,0.072,4.56216414155853e-148,"2","Nav3"
0,1.87476229619696,0.947,0.409,0,"2","Sparc"
0,1.83804385737909,0.596,0.129,0,"2","Siglech"
3.58447847004194e-174,1.74710807433688,0.454,0.128,6.4011616518009e-170,"2","Gpr84"
6.09078645458147e-141,1.63402065177749,0.371,0.101,1.08769264505916e-136,"2","Slc12a2"
7.80842947969606e-176,1.48468246466116,0.449,0.119,1.39442933648412e-171,"2","Cd34"
5.50960197178588e-207,1.47469790279371,0.702,0.275,9.83904720121522e-203,"2","P2ry12"
7.48040136294266e-84,1.43230889261615,0.351,0.135,1.3358500753943e-79,"2","Csf1"
0,4.51823375557083,0.624,0.05,0,"3","Cdc20"
0,4.19612979204062,0.693,0.068,0,"3","Cdkn3"
4.79044330632121e-215,4.13874346519882,0.311,0.023,8.55477365642841e-211,"3","Nek2"
0,4.02728515071541,0.745,0.084,0,"3","Cenpf"
0,3.97362168080869,0.588,0.068,0,"3","Ccnb1"
0,3.96689596818394,0.789,0.089,0,"3","Ccnb2"
0,3.95302504144121,0.703,0.071,0,"3","Hmmr"
6.17711156495983e-223,3.9460811497221,0.4,0.041,1.10310858327053e-218,"3","Kif20a"
5.25563004037338e-265,3.94016630899811,0.448,0.043,9.38550412609878e-261,"3","Aspm"
0,3.86005019300574,0.753,0.104,0,"3","Ube2c"
5.15599584120126e-180,3.92413749609505,0.304,0.024,9.20757737321721e-176,"4","Hist1h1a"
8.23382946543203e-266,3.78455119015112,0.373,0.022,1.47039726593685e-261,"4","Ccne2"
2.79364134489029e-246,3.57305268389823,0.422,0.034,4.98888471370508e-242,"4","Ccne1"
0,3.51447377335033,0.689,0.084,0,"4","Hist1h1b"
0,3.49764240613427,0.684,0.07,0,"4","Rrm2"
4.71363107383282e-252,3.46830402682536,0.473,0.043,8.41760237165065e-248,"4","Hist1h3c"
2.54993737727902e-258,3.46601686469674,0.645,0.093,4.55367816834487e-254,"4","Hist1h2ae"
9.8761377470094e-177,3.4616793224212,0.316,0.026,1.76368067886094e-172,"4","Mcm10"
1.13750419784033e-289,3.43867753205601,0.471,0.035,2.03135499650326e-285,"4","E2f8"
5.10278818544438e-183,3.42978706698257,0.316,0.025,9.11255914156657e-179,"4","Hist1h3f"
0,7.4883070660364,0.354,0.006,0,"5","Cd209a"
0,6.40907779540145,0.425,0.018,0,"5","Ifitm6"
0,6.21676684246677,0.396,0.015,0,"5","Klrd1"
1.77914724487058e-232,5.43787764642778,0.356,0.024,3.17720114988989e-228,"5","Mcemp1"
1.16218723156014e-279,5.01503594719246,0.42,0.027,2.0754339581201e-275,"5","Plac8"
5.16728747678526e-151,4.70222217571161,0.38,0.05,9.22774197604312e-147,"5","Il1b"
7.41798808535321e-210,4.51265342636506,0.731,0.175,1.32470431228238e-205,"5","H2-Ab1"
6.38649961396791e-297,4.49909976573961,0.391,0.02,1.14050110106239e-292,"5","Ciita"
5.39467052087812e-262,4.48040765669951,0.686,0.109,9.63380261618414e-258,"5","H2-Eb1"
9.35905836424997e-276,4.47437103985493,0.728,0.12,1.67134064268776e-271,"5","H2-Aa"
0,4.72247189419058,0.647,0.038,0,"6","Esco2"
0,4.58202272647431,0.584,0.037,0,"6","Hist1h2ab"
2.26893000137224e-222,4.34474152066709,0.353,0.024,4.05185519645055e-218,"6","Tcf19"
1.97131264975348e-245,4.26248079501287,0.406,0.03,3.52037012992976e-241,"6","Neil3"
0,4.24738133561802,0.881,0.076,0,"6","Hist1h1b"
0,4.24389944373843,0.594,0.039,0,"6","Hist1h3c"
0,4.22381716749523,0.785,0.071,0,"6","Pbk"
1.6761257332942e-237,4.18687059423498,0.382,0.027,2.99322533451679e-233,"6","Bik"
0,4.18199368395237,0.719,0.059,0,"6","Hist1h2ap"
0,4.09636636864469,0.658,0.056,0,"6","Rad51ap1"
4.65405552516269e-112,3.45542902454221,0.317,0.037,8.31121235683553e-108,"7","C4b"
5.96991887843603e-105,3.4253601939658,0.473,0.096,1.06610811331111e-100,"7","Lyz1"
7.02346822907076e-122,3.03273398036554,0.827,0.309,1.25425095634746e-117,"7","Apoc4"
4.67503271364483e-103,2.88789594763503,0.533,0.123,8.34867342002695e-99,"7","Colec12"
4.30125743496238e-61,2.57458585010758,0.357,0.084,7.68118552735581e-57,"7","Adarb1"
