"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.17983529130498e-27,1.21898925070586,0.352,0.271,2.10694986321242e-23,"0","Rapsn"
0,1.85766422655404,0.93,0.409,0,"1","Sparc"
0,2.30825503329695,0.585,0.128,0,"1","Siglech"
1.66278861477634e-260,1.12410085509261,0.956,0.574,2.96940790826759e-256,"1","Cd81"
2.66110604129793e-256,1.36888949131143,0.827,0.331,4.75220316854984e-252,"1","Gpr34"
1.89404018933285e-240,1.32241990014012,0.733,0.259,3.38237697011061e-236,"1","Plxdc2"
1.20784977059182e-221,1.9951059974409,0.515,0.141,2.15697812032288e-217,"1","Lag3"
7.94622191357211e-220,1.30043839778907,0.899,0.504,1.41903630932571e-215,"1","Egr1"
1.93535728300418e-207,1.00859044918932,0.683,0.235,3.45616103598886e-203,"1","Serpine2"
2.81567713521983e-202,1.46474866177998,0.691,0.274,5.02823622807558e-198,"1","P2ry12"
8.28156323222627e-202,2.15305641457106,0.353,0.065,1.47892156201097e-197,"1","Sall1"
0,1.24341324859104,0.999,0.883,0,"2","Plin2"
0,1.07632676804305,1,0.895,0,"2","Cstb"
0,1.18316178129913,0.999,0.932,0,"2","Lgals1"
0,1.51537298287995,1,0.948,0,"2","Lgals3"
1.02134116500905e-281,1.30558605654023,0.999,0.949,1.82391105247315e-277,"2","Fabp5"
1.28061053619191e-280,1.72530627515884,0.898,0.468,2.28691429553152e-276,"2","Cd36"
5.50202727828512e-244,1.36269907366605,1,0.996,9.82552031356157e-240,"2","Spp1"
6.79399310563043e-237,1.18321757322819,0.947,0.696,1.21327128880348e-232,"2","Anxa2"
6.5631597072914e-222,1.00772144105134,0.987,0.792,1.1720490605281e-217,"2","Capg"
1.47835012397957e-188,1.01734655600521,0.916,0.617,2.64003765140271e-184,"2","S100a11"
0,4.82698214228959,0.895,0.076,0,"3","Pclaf"
0,4.23167315529713,0.902,0.093,0,"3","Top2a"
0,6.13801289358122,0.785,0.04,0,"3","Hist1h1b"
