"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.07335655420134,0.996,0.883,0,"0","Cstb"
0,1.25638542481496,0.996,0.906,0,"0","Gpnmb"
0,1.34467950829703,1,0.94,0,"0","Lgals3"
0,1.52245915832753,0.999,0.942,0,"0","Fabp5"
1.01880988430169e-232,2.00760348534861,0.56,0.201,1.81939069138595e-228,"0","Plpp3"
1.12499177648049e-230,1.08128325585872,0.988,0.888,2.00901031443887e-226,"0","Txn1"
1.55254769597217e-224,1.40605872251723,0.8,0.446,2.7725396754671e-220,"0","Cd36"
3.11921988071991e-219,1.74354169385434,0.732,0.384,5.57030286298962e-215,"0","Fabp4"
2.56849966900672e-207,2.00645532098217,0.51,0.176,4.5868267089122e-203,"0","F7"
4.61849992627948e-202,1.07594835168132,1,0.996,8.2477171683499e-198,"0","Spp1"
2.00281879488369e-28,1.21755226431652,0.354,0.27,3.5766338039033e-24,"1","Rapsn"
0,1.87476229619696,0.947,0.409,0,"2","Sparc"
0,1.83804385737909,0.596,0.129,0,"2","Siglech"
4.77101146363973e-272,1.15266556068524,0.967,0.575,8.52007227176783e-268,"2","Cd81"
3.25077624563264e-266,1.39891723920185,0.842,0.332,5.80523621945077e-262,"2","Gpr34"
3.99661304819057e-248,1.35408782610162,0.746,0.26,7.13715158145873e-244,"2","Plxdc2"
1.44046927637276e-230,2.03254022929498,0.528,0.141,2.57239003374647e-226,"2","Lag3"
2.82337695053855e-226,1.34106401586093,0.906,0.506,5.04198655827174e-222,"2","Egr1"
1.04927486790016e-217,2.21497208557493,0.367,0.064,1.87379505909611e-213,"2","Sall1"
1.20290466855677e-215,1.03762555141226,0.698,0.235,2.14814715710868e-211,"2","Serpine2"
5.50960197178588e-207,1.47469790279371,0.702,0.275,9.83904720121522e-203,"2","P2ry12"
0,3.43585176467399,0.861,0.127,0,"3","Birc5"
0,3.96689596818394,0.789,0.089,0,"3","Ccnb2"
0,3.45920166626155,0.851,0.174,0,"3","Cenpa"
0,4.02728515071541,0.745,0.084,0,"3","Cenpf"
0,3.86005019300574,0.753,0.104,0,"3","Ube2c"
0,3.95302504144121,0.703,0.071,0,"3","Hmmr"
0,4.19612979204062,0.693,0.068,0,"3","Cdkn3"
0,3.16483806533285,0.733,0.111,0,"3","Cdca3"
0,4.51823375557083,0.624,0.05,0,"3","Cdc20"
0,3.97362168080869,0.588,0.068,0,"3","Ccnb1"
0,3.31370065460744,0.833,0.122,0,"4","Pclaf"
0,3.49764240613427,0.684,0.07,0,"4","Rrm2"
0,3.51447377335033,0.689,0.084,0,"4","Hist1h1b"
0,3.30702114662294,0.625,0.059,0,"4","Clspn"
