gene,cluster_salvador,cluster_milich,p_val_adj_salvador,p_val_adj_milich,avg_log2FC_salvador,avg_log2FC_milich
Cd36,0,2,1.4376422502904e-210,6.586073144353039e-35,1.47100827309604,2.22084359094567
Lpl,0,2,5.546261964531889e-161,7.83591341869212e-37,1.32546980644963,1.59208674257251
Mfge8,0,1,3.8670934896985003e-22,8.94473978766812e-10,1.29647061532177,1.51300858855202
Spp1,0,2,9.3084322187433e-267,6.2697191000969305e-53,1.29521726908399,1.56340298483709
Gpr84,2,4,3.1443886724762596e-167,1.0716608620738001e-48,1.75654339872168,2.83604905334603
Sparc,2,4,0,7.05697635793506e-119,1.86096735323268,3.43629857521384
Cdo1,4,1,1.96387724555057e-116,7.375223471881661e-73,1.90824176142485,1.55780747510113
Plpp3,4,1,7.17104178757677e-130,5.1121232876924194e-45,1.85473427396066,1.8791205145336
Ifitm6,6,5,0,5.730378007990479e-214,6.53309173289668,6.76605082358357
Mcemp1,6,5,2.37239980530059e-192,1.04038669746323e-142,5.20588088551294,5.8951185696926
Plac8,6,5,0,3.36161056035465e-261,6.27274133330828,8.04018261955553
Apoc1,7,4,7.29121754387787e-12,9.48780782265808e-16,2.33185660112316,2.73581190900699
Cd163,8,6,0,5.27555779585224e-160,8.44125529498549,9.11294291514189
Clec4a1,8,6,2.37597574677766e-34,6.58144726203883e-44,4.06662321514527,3.87737796793608
Mrc1,8,6,2.37466856385116e-85,2.9624014060305797e-144,5.13215525900405,6.14350437536193
