gene,cluster_salvador,cluster_brennan,p_val_adj_salvador,p_val_adj_brennan,avg_log2FC_salvador,avg_log2FC_brennan
Cd36,0,2,1.4376422502904e-210,7.751917241244419e-87,1.47100827309604,2.65745618506899
F7,0,2,8.86981915022282e-123,1.1230126929301301e-46,1.64583497175777,1.79099318724741
Lgals3,0,2,0,1.0950643020486499e-134,1.38648590042311,1.47022777555573
Lpl,0,2,5.546261964531889e-161,8.69098215703561e-48,1.32546980644963,1.62546037438828
Mfge8,0,1,3.8670934896985003e-22,1.59468107044139e-47,1.29647061532177,2.53450085954156
Spp1,0,2,9.3084322187433e-267,1.49832985237156e-110,1.29521726908399,1.64977311907599
Rapsn,1,0,3.3384510625203304e-15,1.88273294100143e-15,1.16197423639898,1.3627480293163
Cd34,2,4,2.84586952778146e-166,1.16910932645072e-72,1.47826556962991,3.12374777707097
Siglech,2,6,1.01001017644028e-293,2.33483718861824e-16,1.7705734475765,6.0076112810922
Slc12a2,2,4,2.34658693238473e-135,1.48839794064266e-56,1.63632400986906,2.52296027420138
Sparc,2,4,0,5.4248193825396595e-145,1.86096735323268,4.24492995376468
Ccne2,3,7,0,5.22680533440914e-127,5.79312379786944,7.24103987247096
Clspn,3,7,0,2.6701532745181596e-76,5.22181221257946,5.53606611097279
Cdo1,4,1,1.96387724555057e-116,4.2013032649011397e-78,1.90824176142485,2.06654763378654
Fbxo32,4,1,1.4038339428004998e-90,2.6951260507516497e-56,1.93724096387116,1.86469955257905
Gdf15,4,1,3.6125181867561997e-93,2.18590165153674e-29,2.60497705937451,2.0302945377688
Rilpl2,4,1,5.8532010567204395e-137,6.548044085164729e-82,1.71784586201232,1.85794727953472
H2-Aa,6,3,0,4.8084620513198695e-96,5.02572070854905,3.55144667550319
H2-Ab1,6,3,0,5.439034171367389e-91,5.10990003663695,3.68487296846772
H2-Eb1,6,3,0,8.823884641414178e-89,5.01137119391366,3.7014816842717
Plac8,6,3,0,3.7384153857082894e-98,6.27274133330828,3.63380015790216
Cd74,8,3,8.56202037101377e-77,1.58170569936037e-108,3.68767762095614,3.38190784124207
H2-Aa,8,3,1.79521673088707e-98,4.8084620513198695e-96,3.68298430209478,3.55144667550319
H2-Eb1,8,3,2.4305283147213603e-105,8.823884641414178e-89,3.82439895505878,3.7014816842717
