gene,cluster_salvador,cluster_brennan,p_val_adj_salvador,p_val_adj_brennan,avg_log2FC_salvador,avg_log2FC_brennan
Cd36,0,2,1.4376422502904e-210,7.751917241244419e-87,1.47100827309604,2.65745618506899
Fabp5,0,2,4.04551517929598e-289,9.557458120649341e-65,1.21212789539717,1.10912743877788
Fabp5,0,1,4.04551517929598e-289,5.16130307101861e-116,1.21212789539717,1.12187495794953
Lgals1,0,2,0,1.8761698887227796e-146,1.15150964459,1.4289659488203
Lgals3,0,2,0,1.0950643020486499e-134,1.38648590042311,1.47022777555573
Plin2,0,2,0,1.6839335488982097e-132,1.13442804366188,1.63061960198886
Spp1,0,2,9.3084322187433e-267,1.49832985237156e-110,1.29521726908399,1.64977311907599
Cd81,2,4,2.0338319259689098e-263,9.90603052540391e-97,1.12741030574093,2.49455941179409
Gpr34,2,4,6.2083861795435806e-257,2.0224181407623102e-110,1.3719146354476,2.76384996887209
Plxdc2,2,4,1.6586783009681498e-236,1.10394830497275e-80,1.30522465854705,2.64336786557943
Serpine2,2,4,1.2950823570232899e-204,3.42577261060344e-116,1.0025357319344,3.49870422832724
Siglech,2,4,1.01001017644028e-293,1.49909016190641e-69,1.7705734475765,1.90317125319161
Sparc,2,4,0,5.4248193825396595e-145,1.86096735323268,4.24492995376468
Gpnmb,4,1,2.01906299968476e-180,9.032586534239099e-163,1.21332250040478,1.61275550571502
Hpse,4,1,3.62962322999179e-161,3.0744199432025603e-79,1.70850159398804,1.76826685546365
Pld3,4,1,5.83708615992234e-150,1.71295112026469e-129,1.0452494207564,1.42681782362857
Rilpl2,4,1,5.8532010567204395e-137,6.548044085164729e-82,1.71784586201232,1.85794727953472
Txn1,4,1,4.4803718296387093e-159,4.0477533597424405e-93,1.29589605492231,1.47145407947913
Ccr2,6,3,0,6.511134139246578e-212,4.45994081533074,4.26931135839492
H2-Aa,6,3,0,4.8084620513198695e-96,5.02572070854905,3.55144667550319
Klrd1,6,6,0,1.81165902522088e-66,7.1683412993043,3.43680206042768
Plac8,6,3,0,3.7384153857082894e-98,6.27274133330828,3.63380015790216
Plac8,6,6,0,3.96350961118259e-69,6.27274133330828,3.00055237286423
Rnase6,6,6,0,1.315973254665e-81,4.60173552341122,4.70325814234093
Pmepa1,7,0,3.08644690444795e-72,6.15181754368199e-73,1.30100199894292,1.49240362755088
Cd74,8,3,8.56202037101377e-77,1.58170569936037e-108,3.68767762095614,3.38190784124207
H2-Aa,8,3,1.79521673088707e-98,4.8084620513198695e-96,3.68298430209478,3.55144667550319
Ifitm3,8,3,1.2768744208825e-42,2.3011816399306997e-150,2.45536738257259,3.36642481590613
Ly6d,9,5,0,6.39365409886568e-254,11.1190809130934,6.45390465143982
