gene,cluster_milich,cluster_brennan,p_val_adj_milich,p_val_adj_brennan,avg_log2FC_milich,avg_log2FC_brennan
Gpnmb,1,1,7.532782496963079e-128,9.032586534239099e-163,1.17185088901725,1.61275550571502
Hpse,1,1,2.25405525964184e-59,3.0744199432025603e-79,1.24640643448204,1.76826685546365
Calr,2,2,7.96617045932098e-80,1.21497683328099e-75,1.2588189640455,1.02799784304377
Capg,2,2,1.55223420951233e-91,1.37691908147925e-85,1.18468438465889,1.25730210016986
Lgals1,2,2,7.15257170845736e-110,1.8761698887227796e-146,1.14495754824853,1.4289659488203
Lgals3,2,2,1.22353132684074e-74,1.0950643020486499e-134,1.13584053503298,1.47022777555573
Pgam1,2,2,5.5283294322841504e-65,7.07579680000965e-72,1.0543154923934,1.15356395703254
Spp1,2,2,6.2697191000969305e-53,1.49832985237156e-110,1.56340298483709,1.64977311907599
Tmem119,3,0,6.573880367729069e-45,1.23171765649703e-21,1.36679653624235,1.45090772492707
Cadm1,4,4,4.4342622021233e-60,1.2674386446670598e-106,2.59368299981188,3.31525896831211
Cd81,4,4,4.406660487217769e-95,9.90603052540391e-97,2.12840618449513,2.49455941179409
Cst3,4,4,1.8757772136577499e-78,6.255269297870699e-63,1.36837342727217,1.28919579403931
Cst7,4,4,3.50494767493059e-83,4.34772910174476e-101,3.37003928191697,3.63897915994491
Gpr34,4,4,1.5571309364754e-59,2.0224181407623102e-110,2.06138802530256,2.76384996887209
Serpine2,4,4,8.12107460154745e-68,3.42577261060344e-116,2.71455422954795,3.49870422832724
Sparc,4,4,7.05697635793506e-119,5.4248193825396595e-145,3.43629857521384,4.24492995376468
Ccl9,5,3,2.0948771282748698e-134,3.00195953955849e-96,3.86653511450467,3.44535857813788
Ccr2,5,3,1.79627418213287e-200,6.511134139246578e-212,5.07328652338166,4.26931135839492
Plac8,5,6,3.36161056035465e-261,3.96350961118259e-69,8.04018261955553,3.00055237286423
Plac8,5,3,3.36161056035465e-261,3.7384153857082894e-98,8.04018261955553,3.63380015790216
S100a4,5,3,4.957870057743629e-218,8.69321890924559e-208,5.19621834387869,4.11664400788267
S100a6,5,3,9.327576907352589e-128,5.34956288243909e-129,4.45517345172076,2.33390778178355
