"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.9851322133867e-39,2.22084359094567,0.367,0.128,6.58607314435304e-35,"2","Cd36"
2.36185110730088e-41,1.59208674257251,0.587,0.282,7.83591341869212e-37,"2","Lpl"
1.88977879256622e-57,1.56340298483709,0.996,0.979,6.26971910009693e-53,"2","Spp1"
7.06002943198308e-46,1.46809570101186,0.434,0.143,2.34230596464903e-41,"2","Ddx39"
3.32990723542394e-45,1.46419407450533,0.442,0.151,1.1047633234966e-40,"2","Kcnn4"
1.77300140322979e-55,1.33306089052847,0.692,0.31,5.88228675549548e-51,"2","Lilr4b"
8.04349316664882e-62,1.28671549351039,0.851,0.495,2.66858972789908e-57,"2","Pdia6"
3.58006756816876e-27,1.27639026847603,0.304,0.108,1.18775901709135e-22,"2","Zranb3"
2.40111235474002e-84,1.2588189640455,0.954,0.708,7.96617045932098e-80,"2","Calr"
1.17888729526283e-15,1.2364376769074,0.407,0.229,3.91119437949348e-11,"2","Stmn1"
2.19935271098734e-57,1.22916333444914,0.801,0.432,7.29679248924271e-53,"2","Gsn"
1.14491063949988e-23,1.2030096637502,0.314,0.123,3.79847002866874e-19,"2","Hk3"
1.86411205280735e-32,1.19643978141805,0.493,0.219,6.18456455759894e-28,"2","Por"
6.08508892364482e-37,1.19303202640872,0.501,0.211,2.01884995219764e-32,"2","Slc35b1"
4.67864547581859e-96,1.18468438465889,0.971,0.748,1.55223420951233e-91,"2","Capg"
1.01246753336877e-35,1.17380238487256,0.53,0.239,3.35906353545756e-31,"2","Fcgr4"
3.57567768584342e-27,1.15955193438705,0.361,0.143,1.18630258583227e-22,"2","Il7r"
2.15588260194031e-114,1.14495754824853,0.994,0.947,7.15257170845736e-110,"2","Lgals1"
3.68789018549218e-79,1.13584053503298,0.987,0.936,1.22353132684074e-74,"2","Lgals3"
1.16496569489562e-46,1.11865468333432,0.702,0.358,3.86500668595521e-42,"2","Pgk1"
1.53500112101876e-30,1.11412213604618,0.361,0.129,5.09267321920395e-26,"2","Idh3a"
9.9043894202741e-33,1.08618291139121,0.568,0.266,3.28597927796434e-28,"2","Cct3"
5.69063148459939e-30,1.07941742554276,0.331,0.114,1.88798080764554e-25,"2","Ptgr1"
1.66631384160236e-69,1.0543154923934,0.92,0.7,5.52832943228415e-65,"2","Pgam1"
4.38599314919965e-35,1.0539506316302,0.583,0.274,1.45514094710997e-30,"2","Eif2s1"
1.00906842377881e-23,1.04883222608143,0.348,0.147,3.34778630957097e-19,"2","Cnn2"
7.76921348852209e-23,1.03421079184582,0.526,0.299,2.57759195908697e-18,"2","Fabp4"
1.14633920060982e-76,1.02879344112063,0.96,0.808,3.80320956586318e-72,"2","Pkm"
6.21031167258246e-61,1.01570760567736,0.925,0.72,2.06039510361268e-56,"2","Rnh1"
8.50849596423049e-31,1.00852088719867,0.616,0.322,2.82286370605275e-26,"2","Dnajb11"
6.17806479667932e-64,1.00741196700147,0.931,0.731,2.0496965575943e-59,"2","Ldha"
5.64923696153497e-105,0.995486578610952,0.994,0.942,1.87424734672846e-100,"2","Gapdh"
1.77946827798089e-80,0.990604950121574,0.983,0.922,5.90374190585718e-76,"2","Plin2"
1.08165475002365e-23,0.982240471008627,0.317,0.121,3.58860596415345e-19,"2","Fh1"
9.41504195200424e-35,0.966661198419466,0.616,0.292,3.12362846841645e-30,"2","Psmc5"
2.59248947354782e-36,0.957524241168512,0.788,0.487,8.60110232638962e-32,"2","Sdf2l1"
4.10021149823004e-58,0.95072442457214,0.929,0.659,1.36032716876778e-53,"2","Nme1"
1.11211434924459e-20,0.94554837980025,0.319,0.133,3.68966177648876e-16,"2","Rars"
1.10816550651824e-35,0.942996290934295,0.539,0.229,3.67656070097557e-31,"2","Pnp"
2.08953358768358e-27,0.941385551832725,0.558,0.279,6.93244558385781e-23,"2","Rpn1"
1.18999738811896e-95,0.941018835161055,0.987,0.948,3.94805433456229e-91,"2","Calm1"
1.60256090287037e-47,0.936994857694019,0.91,0.712,5.31681630745302e-43,"2","Tuba1b"
5.97155204446335e-32,0.934528858450876,0.57,0.268,1.98118182179161e-27,"2","Psmd14"
4.25263412526986e-47,0.928608632315871,0.864,0.571,1.41089642374078e-42,"2","Fkbp2"
6.71734862930003e-22,0.925226113913512,0.405,0.186,2.22861475474287e-17,"2","Tubb4b"
4.36506058163541e-62,0.925026959091709,0.958,0.834,1.44819614916918e-57,"2","Vim"
3.409741884783e-47,0.923388570634286,0.908,0.636,1.13125006511445e-42,"2","Hsp90b1"
2.19895508502575e-23,0.921452337002932,0.436,0.2,7.29547328558993e-19,"2","Asl"
7.74864723770253e-50,0.919454122598185,0.889,0.617,2.57076869405257e-45,"2","Tagln2"
1.13720153365962e-25,0.918205105253403,0.417,0.183,3.77289352822252e-21,"2","Aldh9a1"
1.99243511707298e-57,0.917313903311291,0.901,0.659,6.61030198791302e-53,"2","Anxa2"
2.6134711996208e-20,0.916772103601243,0.382,0.18,8.67071339898192e-16,"2","Ncoa4"
4.54875171876264e-33,0.904649081397044,0.78,0.489,1.50913935773388e-28,"2","Manf"
5.53619714665785e-41,0.90448208358006,0.847,0.574,1.83674412734668e-36,"2","Lat2"
5.81251215314952e-25,0.896590155670514,0.453,0.204,1.92841715705042e-20,"2","Pdia4"
4.63786089461697e-32,0.896418005050524,0.581,0.278,1.53870310900707e-27,"2","Srsf7"
5.66213788911678e-18,0.894853767229688,0.338,0.155,1.87852748747227e-13,"2","Mthfd2"
2.50844377631431e-33,0.884991760832837,0.706,0.396,8.322263916678e-29,"2","C5ar1"
3.13219091530711e-34,0.882370697563817,0.629,0.295,1.03916697997144e-29,"2","Psmc4"
2.8659522685899e-22,0.881357683914121,0.512,0.275,9.50836984150071e-18,"2","Cfp"
1.63158777067132e-24,0.877207927653902,0.591,0.326,5.41311874675624e-20,"2","Tuba1c"
2.34604052425143e-30,0.876702449945976,0.694,0.392,7.78345864730895e-26,"2","Adssl1"
5.49600815500276e-13,0.870940954285229,0.371,0.213,1.82341062558527e-08,"2","Cd74"
1.2063386485444e-20,0.867394209558167,0.302,0.122,4.00226973427576e-16,"2","Thoc6"
1.30829398359473e-20,0.86502179463091,0.398,0.185,4.34052694937223e-16,"2","Got2"
2.01558269957047e-28,0.860654823854515,0.535,0.253,6.68709872236494e-24,"2","Plp2"
3.59963776569024e-28,0.855364513179006,0.74,0.442,1.19425182152305e-23,"2","Emp1"
6.06580767101528e-23,0.854475437219727,0.377,0.159,2.01245301101274e-18,"2","Farsb"
1.27744882489377e-23,0.851192701483443,0.442,0.202,4.23819196635007e-19,"2","Prpf19"
1.62215656282924e-31,0.849328187866242,0.801,0.555,5.38182882849857e-27,"2","Vat1"
2.2017431410588e-38,0.846714767772397,0.855,0.579,7.30472321909079e-34,"2","Ndufa12"
5.00242471234188e-21,0.84617125750607,0.532,0.286,1.65965444681366e-16,"2","Aopep"
3.75787924157252e-29,0.842252306369422,0.593,0.301,1.24675159597652e-24,"2","Msr1"
7.15416297917845e-22,0.840447914593646,0.392,0.173,2.37353665160203e-17,"2","Lman1"
6.46271944189855e-26,0.830314135841269,0.572,0.291,2.14413642923868e-21,"2","Erp44"
1.55977231970142e-23,0.828171632307014,0.423,0.192,5.17485662507339e-19,"2","Tubb2a"
4.21850546233648e-23,0.826012833883829,0.939,0.853,1.39957355723937e-18,"2","Ctsl"
8.61833968299816e-16,0.825744363128491,0.317,0.149,2.8593065566283e-11,"2","Creld2"
7.42829576886047e-39,0.823955840501419,0.901,0.703,2.46448568723484e-34,"2","Ran"
4.38465388146679e-21,0.822734451063483,0.335,0.139,1.45469661825424e-16,"2","Dpp3"
9.85539670194934e-19,0.822278617651515,0.319,0.137,3.26972496380573e-14,"2","Ddx1"
6.85518136225482e-28,0.821999836485326,0.679,0.398,2.27434352055528e-23,"2","Slc27a1"
