"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,11.3864902103318,0.323,0.001,0,"3","Xcl1"
0,11.1718036037048,0.462,0.001,0,"3","Il2rb"
0,11.0711827545554,0.708,0.001,0,"3","Trbc2"
0,10.985956911416,0.331,0,0,"3","Gimap7"
0,10.9730028194763,0.585,0.001,0,"3","Cd3g"
0,10.6580310099551,0.5,0.001,0,"3","Trbc1"
0,10.5152612839758,0.608,0.001,0,"3","Gimap3"
0,10.3307407633765,0.692,0.002,0,"3","Nkg7"
0,10.296419585631,0.508,0.001,0,"3","Cd3e"
0,10.2586893796509,0.646,0.002,0,"3","Gimap4"
0,10.0894632624142,0.408,0.001,0,"3","Trac"
0,10.0850632018341,0.315,0.001,0,"3","Bcl11b"
0,10.033699865657,0.592,0.002,0,"3","Cd3d"
0,9.76944633376204,0.454,0.001,0,"3","Skap1"
0,9.73613531833886,0.462,0.001,0,"3","Thy1"
0,9.40405174421224,0.354,0.001,0,"3","Cd2"
0,9.22314458552229,0.777,0.006,0,"3","Ms4a4b"
0,8.69203888042467,0.462,0.003,0,"3","Ctsw"
0,8.39669081655442,0.346,0.002,0,"3","Lck"
0,8.02344512639611,0.569,0.004,0,"3","Ptprcap"
0,6.37554495325004,0.346,0.007,0,"3","Sept1"
0,5.89974049866186,0.462,0.013,0,"3","Ltb"
9.93697370460056e-227,5.76289014402288,0.685,0.053,1.77454476416757e-222,"3","Ccl5"
0,5.73359195735101,0.508,0.014,0,"3","Gimap6"
0,5.67681976297217,0.6,0.015,0,"3","Ccnd2"
2.69662125404505e-177,5.57380470451331,0.385,0.02,4.81562623547364e-173,"3","Ptpn22"
3.46725381780476e-145,5.38843443750802,0.3,0.015,6.19182186783575e-141,"3","Txk"
5.35277999692951e-184,5.34260294078394,0.392,0.02,9.55899451851671e-180,"3","Ly6c2"
2.19863971374526e-274,5.23172822045844,0.377,0.012,3.92633080080629e-270,"3","Klrd1"
3.43815687949061e-139,4.69227344297184,0.308,0.016,6.13986055539433e-135,"3","Gimap1"
7.43188234810767e-126,4.65178541793443,0.854,0.164,1.32718554972507e-121,"3","AW112010"
1.26034425962365e-145,4.357258391195,0.392,0.026,2.25072277883592e-141,"3","Ablim1"
4.22279146506815e-85,4.27807690456628,0.592,0.103,7.54106099831871e-81,"3","Bcl2"
3.47405261590544e-60,4.02701700204966,0.362,0.051,6.20396316148394e-56,"3","Itgal"
1.74669107348682e-129,3.99731382185067,0.669,0.086,3.11924091903276e-125,"3","H2-Q7"
2.27519090483395e-59,3.96710307448347,0.346,0.046,4.06303591785247e-55,"3","Dusp2"
2.16087327598259e-101,3.9052448810583,0.331,0.026,3.8588874962497e-97,"3","Cd69"
3.22493237331497e-61,3.69549030802066,0.408,0.063,5.75908423226587e-57,"3","Ifi203"
6.55125339886451e-45,3.53091181408243,0.392,0.076,1.16992283196922e-40,"3","Mndal"
9.05425958733257e-68,3.47782773978471,0.3,0.031,1.61690967710585e-63,"3","Ly6a"
4.30354280546194e-50,3.43309602204876,0.431,0.081,7.68526674199393e-46,"3","Cnn2"
4.20389209250004e-77,3.36368616587086,0.754,0.18,7.50731049878658e-73,"3","S100a10"
2.54135396049961e-34,3.24365694031079,0.362,0.081,4.53834990266021e-30,"3","Runx3"
6.15031956189945e-37,3.19410928469554,0.3,0.053,1.098324067364e-32,"3","Cytip"
2.74187668582855e-41,3.10922918811338,0.515,0.136,4.89644338555262e-37,"3","S100a4"
4.95977110084992e-29,3.06861715055675,0.362,0.092,8.85715923189779e-25,"3","Emb"
5.36370053583405e-34,2.88732070478388,0.4,0.096,9.57849641689244e-30,"3","Rinl"
1.07060906230545e-66,2.80231626799369,0.738,0.189,1.91189366346508e-62,"3","S100a6"
4.69363796950032e-24,2.54642600373645,0.446,0.151,8.38189868593368e-20,"3","Itga4"
1.05250683695458e-31,2.53530721329052,0.585,0.218,1.87956670943348e-27,"3","Stk17b"
1.02358971904028e-11,2.52885611702628,0.331,0.138,1.82792652026214e-07,"3","Il7r"
2.85669053141117e-28,2.49403660431021,0.454,0.137,5.10147795099406e-24,"3","Pdcd4"
3.83718683439367e-56,2.43531437328579,0.985,0.569,6.85244824886022e-52,"3","Tmsb10"
3.44593231618485e-12,2.28197062909915,0.308,0.118,6.1537459302429e-08,"3","Ugcg"
5.80910203704863e-18,2.23909108365794,0.338,0.11,1.03738944177614e-13,"3","Clec2d"
1.41444793415608e-14,2.2337096247551,0.377,0.153,2.52592112081592e-10,"3","Anxa6"
8.44277673986804e-16,2.21807690385671,0.377,0.149,1.50771107020564e-11,"3","Il2rg"
1.60645854939817e-32,2.19479054824245,0.754,0.361,2.86881367751526e-28,"3","Hcst"
8.50739326919444e-27,2.10134494444893,0.454,0.136,1.51925029001274e-22,"3","Ets1"
6.86528803808389e-11,2.06128944260475,0.331,0.145,1.22600313784102e-06,"3","Ezr"
1.43418662010805e-22,1.99816828681676,0.508,0.194,2.56117046618895e-18,"3","Ahnak"
1.94383346904857e-16,1.97005751679523,0.592,0.308,3.47129780902693e-12,"3","Ms4a6b"
1.27851587851383e-11,1.94788906213957,0.362,0.159,2.28317365585e-07,"3","Chd3"
2.60296207198567e-08,1.90106707321062,0.3,0.143,0.000464836966815201,"3","Adgre5"
2.35431161884246e-15,1.88470683596111,0.392,0.154,4.20432968892887e-11,"3","Atp11b"
1.12927948393195e-19,1.87824366188201,0.462,0.169,2.01666730240567e-15,"3","Sp100"
1.74026545890746e-27,1.74758367161465,0.815,0.482,3.10776605651693e-23,"3","Rac2"
3.30577747132837e-16,1.6978507414358,0.508,0.23,5.90345740829821e-12,"3","Epsti1"
1.42776375523577e-13,1.67141358002505,0.385,0.155,2.54970051410003e-09,"3","Ccnd3"
2.11329900069695e-09,1.65921460237741,0.3,0.13,3.77392935544461e-05,"3","Fyn"
1.39089166193347e-10,1.6079361249468,0.385,0.182,2.48385432988079e-06,"3","Tes"
1.16009392631706e-10,1.57378141381415,0.423,0.207,2.071695733617e-06,"3","Npm3"
1.56830040012963e-24,1.56723442758952,0.815,0.53,2.80067085455149e-20,"3","Shisa5"
9.10001926616964e-07,1.48323823684896,0.308,0.156,0.0162508144055257,"3","Inpp4b"
3.92275595337314e-08,1.48250318058062,0.346,0.171,0.000700525758153376,"3","Sash3"
