"","x"
"1","Plin2"
"2","Lgals1"
"3","Lgals3"
"4","Fabp5"
"5","Spp1"
"6","Anxa2"
"7","Cd36"
"8","Fabp4"
"9","Lpl"
"10","Anxa1"
"11","2410006H16Rik"
"12","Rapsn"
"13","Sparc"
"14","Siglech"
"15","Cd81"
"16","Gpr34"
"17","Plxdc2"
"18","Egr1"
"19","Lag3"
"20","Serpine2"
"21","Sall1"
"22","P2ry12"
"23","Pclaf"
"24","Top2a"
"25","Hist1h1b"
"26","Mki67"
"27","Smc2"
"28","Cdk1"
"29","Tk1"
"30","Rrm1"
"31","Rrm2"
"32","Stmn1"
"33","Gpnmb"
"34","Hpse"
"35","Txn1"
"36","Pld3"
"37","Rilpl2"
"38","Plpp3"
"39","Gstm1"
"40","Ddhd1"
"41","Ahnak2"
"42","Cdo1"
"43","Birc5"
"44","Ccnb2"
"45","Cenpa"
"46","Cenpf"
"47","Ube2c"
"48","Hmmr"
"49","Cdkn3"
"50","Cdca3"
"51","Cdc20"
"52","Tpx2"
"53","H2-Aa"
"54","H2-Eb1"
"55","Plbd1"
"56","Ccr2"
"57","H2-Ab1"
"58","Plac8"
"59","Rnase6"
"60","Ciita"
"61","Klrd1"
"62","Ifitm6"
"63","Apoc4"
"64","C4b"
"65","Timp2"
"66","Ctla2a"
"67","Colec12"
"68","Lyz1"
"69","Pmepa1"
"70","Plaat3"
"71","Trf"
"72","Mrc1"
"73","Cd163"
"74","Mgl2"
"75","Cd74"
"76","Ifitm3"
"77","Lifr"
"78","Iglc3"
"79","Ly6d"
"80","Gm21762"
"81","Ccr9"
"82","Cd8b1"
"83","Mctp2"
"84","Atp1b1"
"85","Smim5"
"86","Cd7"
"87","Atp2a1"
"88","F7"
"89","Il7r"
"90","Mmp8"
"91","Mfge8"
"92","Nav3"
"93","Gpr84"
"94","Slc12a2"
"95","Cd34"
"96","Tanc2"
"97","Esco2"
"98","Hist1h2ab"
"99","Hist1h3c"
"100","Ccne2"
"101","Hist1h1a"
"102","Hist1h2ap"
"103","Hist1h2ae"
"104","Clspn"
"105","Gdf15"
"106","Fbxo32"
"107","Gadd45a"
"108","Capn15"
"109","Mcoln3"
"110","Nek2"
"111","Ccnb1"
"112","Aspm"
"113","Kif20a"
"114","Jaml"
"115","H2-DMb2"
"116","Mcemp1"
"117","Adarb1"
"118","Apoc1"
"119","Siglec1"
"120","1700003F12Rik"
"121","Etv1"
"122","Folr2"
"123","Clec4a1"
"124","St3gal6"
"125","Klk1"
"126","Havcr1"
"127","Klk1b27"
"128","Ptprf"
"129","Dntt"
