query_clusters,predicted_cell_types,value,pair,ref,test
0,0,430,AxB,A,B
1,0,176,AxB,A,B
2,0,121,AxB,A,B
3,0,359,AxB,A,B
4,0,17,AxB,A,B
5,0,4,AxB,A,B
6,0,36,AxB,A,B
0,1,71,AxB,A,B
1,1,5,AxB,A,B
2,1,25,AxB,A,B
3,1,35,AxB,A,B
4,1,165,AxB,A,B
5,1,0,AxB,A,B
6,1,8,AxB,A,B
0,2,38,AxB,A,B
1,2,32,AxB,A,B
2,2,211,AxB,A,B
3,2,0,AxB,A,B
4,2,3,AxB,A,B
5,2,26,AxB,A,B
6,2,2,AxB,A,B
0,3,0,AxB,A,B
1,3,0,AxB,A,B
2,3,2,AxB,A,B
3,3,0,AxB,A,B
4,3,0,AxB,A,B
5,3,0,AxB,A,B
6,3,0,AxB,A,B
0,4,214,AxB,A,B
1,4,473,AxB,A,B
2,4,91,AxB,A,B
3,4,42,AxB,A,B
4,4,16,AxB,A,B
5,4,6,AxB,A,B
6,4,0,AxB,A,B
0,5,0,AxB,A,B
1,5,0,AxB,A,B
2,5,0,AxB,A,B
3,5,0,AxB,A,B
4,5,0,AxB,A,B
5,5,1,AxB,A,B
6,5,0,AxB,A,B
0,6,0,AxB,A,B
1,6,0,AxB,A,B
2,6,10,AxB,A,B
3,6,0,AxB,A,B
4,6,0,AxB,A,B
5,6,140,AxB,A,B
6,6,0,AxB,A,B
0,7,58,AxB,A,B
1,7,4,AxB,A,B
2,7,16,AxB,A,B
3,7,12,AxB,A,B
4,7,52,AxB,A,B
5,7,0,AxB,A,B
6,7,7,AxB,A,B
0,8,0,AxB,A,B
1,8,0,AxB,A,B
2,8,1,AxB,A,B
3,8,0,AxB,A,B
4,8,0,AxB,A,B
5,8,0,AxB,A,B
6,8,23,AxB,A,B
