query_clusters,predicted_cell_types,value,pair,ref,test
0,0,252,BxC,B,C
1,0,79,BxC,B,C
2,0,13,BxC,B,C
3,0,2,BxC,B,C
4,0,29,BxC,B,C
5,0,3,BxC,B,C
6,0,2,BxC,B,C
7,0,2,BxC,B,C
0,1,325,BxC,B,C
1,1,459,BxC,B,C
2,1,201,BxC,B,C
3,1,19,BxC,B,C
4,1,40,BxC,B,C
5,1,5,BxC,B,C
6,1,6,BxC,B,C
7,1,2,BxC,B,C
0,2,45,BxC,B,C
1,2,19,BxC,B,C
2,2,315,BxC,B,C
3,2,24,BxC,B,C
4,2,17,BxC,B,C
5,2,0,BxC,B,C
6,2,0,BxC,B,C
7,2,22,BxC,B,C
0,3,260,BxC,B,C
1,3,2,BxC,B,C
2,3,6,BxC,B,C
3,3,11,BxC,B,C
4,3,8,BxC,B,C
5,3,1,BxC,B,C
6,3,2,BxC,B,C
7,3,5,BxC,B,C
0,4,12,BxC,B,C
1,4,0,BxC,B,C
2,4,2,BxC,B,C
3,4,6,BxC,B,C
4,4,126,BxC,B,C
5,4,0,BxC,B,C
6,4,2,BxC,B,C
7,4,1,BxC,B,C
0,5,1,BxC,B,C
1,5,1,BxC,B,C
2,5,8,BxC,B,C
3,5,273,BxC,B,C
4,5,1,BxC,B,C
5,5,61,BxC,B,C
6,5,47,BxC,B,C
7,5,4,BxC,B,C
0,6,7,BxC,B,C
1,6,0,BxC,B,C
2,6,0,BxC,B,C
3,6,0,BxC,B,C
4,6,1,BxC,B,C
5,6,0,BxC,B,C
6,6,0,BxC,B,C
7,6,0,BxC,B,C
