"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",5.64252334265414e-115,1.04391311282708,0.981,0.749,8.64039599460628e-111,"0","Ms4a7"
"2",3.5515357698339e-103,1.50926884616159,0.817,0.464,5.43846672434665e-99,"0","Fcrls"
"3",2.08948369775163e-100,1.05838496139992,0.968,0.77,3.19962638636707e-96,"0","Sepp1"
"4",4.01738231808397e-77,1.49240362755088,0.746,0.478,6.15181754368199e-73,"0","Pmepa1"
"5",8.96209490362322e-77,1.29080174154649,0.78,0.469,1.37236559259182e-72,"0","Cx3cr1"
"6",1.23025199632232e-61,1.40154331634999,0.677,0.426,1.88388488196837e-57,"0","Maf"
"7",5.0145847492381e-60,1.32865150914976,0.686,0.454,7.67883362650831e-56,"0","Rnase4"
"8",1.81813364142741e-36,1.38138488460326,0.476,0.284,2.7841080451178e-32,"0","Ang"
"9",5.83488416198409e-29,1.21557930344557,0.437,0.26,8.93495811724624e-25,"0","Lpcat2"
"10",8.04360776135981e-26,1.45090772492707,0.333,0.171,1.23171765649703e-21,"0","Tmem119"
"11",5.89863941372631e-167,1.61275550571502,1,0.802,9.0325865342391e-163,"1","Gpnmb"
"12",4.30065255732957e-136,1.08385237379973,1,0.999,6.58558926103878e-132,"1","Fth1"
"13",1.11862542954659e-133,1.42681782362857,0.982,0.668,1.71295112026469e-129,"1","Pld3"
"14",2.7016541650393e-128,2.21567151374816,0.734,0.235,4.13704302292468e-124,"1","Atp6v0d2"
"15",3.37053684517639e-120,1.12187495794953,1,0.832,5.16130307101861e-116,"1","Fabp5"
"16",5.9953758940525e-113,1.18400873959144,0.989,0.821,9.18071910656259e-109,"1","Creg1"
"17",8.03404983790236e-107,2.22865492856461,0.811,0.425,1.23025405167799e-102,"1","S100a1"
"18",2.64334445225785e-97,1.47145407947913,0.943,0.726,4.04775335974244e-93,"1","Txn1"
"19",4.2761340594036e-86,1.85794727953472,0.684,0.275,6.54804408516473e-82,"1","Rilpl2"
"20",2.00771889453573e-83,1.76826685546365,0.666,0.26,3.07441994320256e-79,"1","Hpse"
"21",1.22521379789903e-150,1.4289659488203,0.983,0.848,1.87616988872278e-146,"2","Lgals1"
"22",7.15120683111507e-139,1.47022777555573,0.996,0.901,1.09506430204865e-134,"2","Lgals3"
"23",1.09967579762177e-136,1.63061960198886,0.985,0.755,1.68393354889821e-132,"2","Plin2"
"24",9.7846917806541e-115,1.64977311907599,0.993,0.924,1.49832985237156e-110,"2","Spp1"
"25",9.80599585286472e-108,1.19982618611971,0.983,0.782,1.50159214494917e-103,"2","Cstb"
"26",5.06231126575094e-91,2.65745618506899,0.561,0.174,7.75191724124442e-87,"2","Cd36"
"27",8.99183100293381e-90,1.25730210016986,0.938,0.617,1.37691908147925e-85,"2","Capg"
"28",7.93428350604708e-80,1.02799784304377,0.971,0.778,1.21497683328099e-75,"2","Calr"
"29",4.6207776399201e-76,1.15356395703254,0.89,0.613,7.07579680000965e-72,"2","Pgam1"
"30",6.24140150241582e-69,1.10912743877788,0.963,0.842,9.55745812064934e-65,"2","Fabp5"
"31",4.25203039198497e-216,4.26931135839492,0.722,0.08,6.51113413924658e-212,"3","Ccr2"
"32",5.67701881358688e-212,4.11664400788267,0.869,0.169,8.69321890924559e-208,"3","S100a4"
"33",1.5027634297203e-154,3.36642481590613,0.97,0.59,2.3011816399307e-150,"3","Ifitm3"
"34",3.49347801373937e-133,2.33390778178355,0.922,0.38,5.34956288243909e-129,"3","S100a6"
"35",1.05279042863653e-122,1.62313735611924,0.997,0.945,1.61213798337112e-118,"3","Cd52"
"36",1.03291693290692e-112,3.38190784124207,0.743,0.231,1.58170569936037e-108,"3","Cd74"
"37",2.44133441240011e-102,3.63380015790216,0.496,0.083,3.73841538570829e-98,"3","Plac8"
"38",2.7828582144597e-101,1.6158969347025,0.973,0.869,4.26139078380214e-97,"3","Fxyd5"
"39",1.96039935973257e-100,3.44535857813788,0.543,0.113,3.00195953955849e-96,"3","Ccl9"
"40",3.14011758069606e-100,3.55144667550319,0.609,0.155,4.80846205131987e-96,"3","H2-Aa"
"41",3.54262351109493e-149,4.24492995376468,0.793,0.148,5.42481938253966e-145,"4","Sparc"
"42",2.2371662055792e-120,3.49870422832724,0.536,0.057,3.42577261060344e-116,"4","Serpine2"
"43",1.32071974189401e-114,2.76384996887209,0.658,0.097,2.02241814076231e-110,"4","Gpr34"
"44",8.27688006704802e-111,3.31525896831211,0.464,0.043,1.26743864466706e-106,"4","Cadm1"
"45",2.83924058103883e-105,3.63897915994491,0.595,0.094,4.34772910174476e-101,"4","Cst7"
"46",6.46903319101672e-101,2.49455941179409,0.941,0.37,9.90603052540391e-97,"4","Cd81"
"47",7.20922291499218e-85,2.64336786557943,0.568,0.097,1.10394830497275e-80,"4","Plxdc2"
"48",7.63475038497171e-77,3.12374777707097,0.324,0.03,1.16910932645072e-72,"4","Cd34"
"49",9.78965690528579e-74,1.90317125319161,0.311,0.028,1.49909016190641e-69,"4","Siglech"
"50",4.08494044137054e-67,1.28919579403931,1,0.989,6.2552692978707e-63,"4","Cst3"
"51",0,7.20495172456579,0.986,0.022,0,"5","Cd79a"
"52",1.24743694719966e-284,7.35075627668003,0.857,0.018,1.91020019724684e-280,"5","Ms4a1"
"53",4.17531123807593e-258,6.45390465143982,0.929,0.029,6.39365409886568e-254,"5","Ly6d"
"54",5.47726439532841e-256,7.52037652252992,0.729,0.013,8.38733496856639e-252,"5","Mzb1"
"55",5.35601664786134e-216,7.39820758308636,0.643,0.013,8.20166829287007e-212,"5","Gimap4"
"56",5.83716526865705e-205,7.45932445682872,0.543,0.008,8.93845117589455e-201,"5","Pou2af1"
"57",1.72874308824293e-170,6.27901694129295,0.971,0.066,2.64722429102639e-166,"5","Cd79b"
"58",5.05955856413079e-168,6.62897748580187,0.6,0.017,7.74770202925348e-164,"5","Bank1"
"59",3.84619348554094e-163,7.08829283659184,0.443,0.007,5.88967608440884e-159,"5","Faim3"
"60",7.70417359806515e-162,7.26242164278027,0.571,0.016,1.17974010307172e-157,"5","Cd2"
"61",9.89970538512831e-303,10.014376641418,0.559,0.001,1.5159418856247e-298,"6","Xcr1"
"62",2.81677481550709e-294,9.18090139230777,0.559,0.001,4.313327274986e-290,"6","Clec9a"
"63",6.43930972247796e-191,7.68505467120759,0.407,0.002,9.8605149780305e-187,"6","Snx22"
"64",2.92459690950284e-153,5.78483702822131,0.576,0.015,4.4784352475217e-149,"6","Amica1"
"65",6.6501381591765e-123,5.81022133292591,0.458,0.012,1.0183356563147e-118,"6","Ifi205"
"66",3.88519958960117e-106,6.76435945684582,0.356,0.007,5.94940613155628e-102,"6","F630111L10Rik"
"67",8.59383043600211e-86,4.70325814234093,0.678,0.053,1.315973254665e-81,"6","Rnase6"
"68",2.58832992306053e-73,3.00055237286423,0.915,0.116,3.96350961118259e-69,"6","Plac8"
"69",1.18308563000123e-70,3.43680206042768,0.508,0.033,1.81165902522088e-66,"6","Klrd1"
"70",1.17460909528378e-61,4.7051013864925,0.661,0.077,1.79867890760805e-57,"6","Naaa"
"71",1.98033698155026e-166,10.3138401227008,0.306,0,3.03249001984792e-162,"7","Rad51"
"72",7.15287619447259e-139,6.59896768194439,0.472,0.006,1.09531993165959e-134,"7","Uhrf1"
"73",3.41331243675905e-131,7.24103987247096,0.333,0.002,5.22680533440914e-127,"7","Ccne2"
"74",4.20812698800546e-128,4.7881770539719,0.778,0.026,6.44390485673275e-124,"7","Mcm5"
"75",7.82922380676639e-101,6.15458095939907,0.5,0.013,1.19888904153014e-96,"7","2810417H13Rik"
"76",9.50439126777743e-88,5.08811227723672,0.583,0.022,1.45540743483476e-83,"7","Hells"
"77",2.73779654112647e-83,4.65612491944354,0.694,0.035,4.19238784342696e-79,"7","Mcm2"
"78",1.74371662934641e-80,5.53606611097279,0.333,0.006,2.67015327451816e-76,"7","Clspn"
"79",4.14476601842171e-77,4.10383698327027,0.778,0.049,6.34688020400917e-73,"7","Mcm6"
"80",2.87970393562901e-71,4.96033103361724,0.389,0.011,4.4096906366287e-67,"7","Chaf1a"
