"","x"
"1","Ms4a7"
"2","Fcrls"
"3","Sepp1"
"4","Pmepa1"
"5","Cx3cr1"
"6","Maf"
"7","Rnase4"
"8","Ang"
"9","Lpcat2"
"10","Tmem119"
"11","Gpnmb"
"12","Fth1"
"13","Pld3"
"14","Atp6v0d2"
"15","Fabp5"
"16","Creg1"
"17","S100a1"
"18","Txn1"
"19","Rilpl2"
"20","Hpse"
"21","Lgals1"
"22","Lgals3"
"23","Plin2"
"24","Spp1"
"25","Cstb"
"26","Cd36"
"27","Capg"
"28","Calr"
"29","Pgam1"
"30","Ccr2"
"31","S100a4"
"32","Ifitm3"
"33","S100a6"
"34","Cd52"
"35","Cd74"
"36","Plac8"
"37","Fxyd5"
"38","Ccl9"
"39","H2-Aa"
"40","Sparc"
"41","Serpine2"
"42","Gpr34"
"43","Cadm1"
"44","Cst7"
"45","Cd81"
"46","Plxdc2"
"47","Cd34"
"48","Siglech"
"49","Cst3"
"50","Cd79a"
"51","Ms4a1"
"52","Ly6d"
"53","Mzb1"
"54","Gimap4"
"55","Pou2af1"
"56","Cd79b"
"57","Bank1"
"58","Faim3"
"59","Cd2"
"60","Xcr1"
"61","Clec9a"
"62","Snx22"
"63","Amica1"
"64","Ifi205"
"65","F630111L10Rik"
"66","Rnase6"
"67","Klrd1"
"68","Naaa"
"69","Rad51"
"70","Uhrf1"
"71","Ccne2"
"72","Mcm5"
"73","2810417H13Rik"
"74","Hells"
"75","Mcm2"
"76","Clspn"
"77","Mcm6"
"78","Chaf1a"
"79","Rapsn"
"80","Mfge8"
"81","Ppap2b"
"82","Cdo1"
"83","Gdf15"
"84","C77080"
"85","Tst"
"86","Fbxo32"
"87","F7"
"88","Ccl2"
"89","Hk3"
"90","Lpl"
"91","Msr1"
"92","Emp1"
"93","Ly6c2"
"94","Ms4a4c"
"95","H2-Eb1"
"96","H2-Ab1"
"97","Ctsf"
"98","Slc12a2"
"99","Zbtb32"
"100","Ebf1"
"101","Blk"
"102","Gpr171"
"103","Gins2"
"104","Apitd1"
