"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.5515357698339e-103,1.50926884616159,0.817,0.464,5.43846672434665e-99,"0","Fcrls"
4.01738231808397e-77,1.49240362755088,0.746,0.478,6.15181754368199e-73,"0","Pmepa1"
8.04360776135981e-26,1.45090772492707,0.333,0.171,1.23171765649703e-21,"0","Tmem119"
1.23025199632232e-61,1.40154331634999,0.677,0.426,1.88388488196837e-57,"0","Maf"
1.81813364142741e-36,1.38138488460326,0.476,0.284,2.7841080451178e-32,"0","Ang"
1.22949973290762e-19,1.3627480293163,0.3,0.166,1.88273294100143e-15,"0","Rapsn"
5.0145847492381e-60,1.32865150914976,0.686,0.454,7.67883362650831e-56,"0","Rnase4"
8.96209490362322e-77,1.29080174154649,0.78,0.469,1.37236559259182e-72,"0","Cx3cr1"
5.83488416198409e-29,1.21557930344557,0.437,0.26,8.93495811724624e-25,"0","Lpcat2"
2.08948369775163e-100,1.05838496139992,0.968,0.77,3.19962638636707e-96,"0","Sepp1"
1.04139036794971e-51,2.53450085954156,0.421,0.148,1.59468107044139e-47,"1","Mfge8"
8.03404983790236e-107,2.22865492856461,0.811,0.425,1.23025405167799e-102,"1","S100a1"
2.7016541650393e-128,2.21567151374816,0.734,0.235,4.13704302292468e-124,"1","Atp6v0d2"
4.54248543491566e-76,2.15011376287457,0.484,0.141,6.95590794648635e-72,"1","Ppap2b"
2.743618667081e-82,2.06654763378654,0.552,0.174,4.20130326490114e-78,"1","Cdo1"
1.42748099754244e-33,2.0302945377688,0.304,0.106,2.18590165153674e-29,"1","Gdf15"
4.79233093190456e-61,1.95423919155056,0.43,0.13,7.33849635602545e-57,"1","C77080"
2.52864023059338e-59,1.90619569326432,0.446,0.144,3.87210678510764e-55,"1","Tst"
1.76002484865908e-60,1.86469955257905,0.461,0.149,2.69512605075165e-56,"1","Fbxo32"
4.2761340594036e-86,1.85794727953472,0.684,0.275,6.54804408516473e-82,"1","Rilpl2"
5.06231126575094e-91,2.65745618506899,0.561,0.174,7.75191724124442e-87,"2","Cd36"
7.33372097518537e-51,1.79099318724741,0.44,0.156,1.12301269293013e-46,"2","F7"
1.07479814016818e-47,1.72997286559098,0.332,0.093,1.64583839203953e-43,"2","Ccl2"
1.00666058691726e-36,1.68141499202935,0.312,0.101,1.5414993567464e-32,"2","Hk3"
9.7846917806541e-115,1.64977311907599,0.993,0.924,1.49832985237156e-110,"2","Spp1"
1.09967579762177e-136,1.63061960198886,0.985,0.755,1.68393354889821e-132,"2","Plin2"
5.6755581251457e-52,1.62546037438828,0.624,0.31,8.69098215703561e-48,"2","Lpl"
3.13459055207533e-57,1.49550759745108,0.563,0.224,4.79999851239295e-53,"2","Msr1"
7.15120683111507e-139,1.47022777555573,0.996,0.901,1.09506430204865e-134,"2","Lgals3"
6.08814859645407e-51,1.45880684641994,0.582,0.254,9.32278194575011e-47,"2","Emp1"
4.25203039198497e-216,4.26931135839492,0.722,0.08,6.51113413924658e-212,"3","Ccr2"
5.67701881358688e-212,4.11664400788267,0.869,0.169,8.69321890924559e-208,"3","S100a4"
5.99135059867861e-72,3.95699746472215,0.328,0.048,9.17455517175655e-68,"3","Ly6c2"
