"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.69831551453746e-93,2.46501622832813,0.314,0.041,1.8905301382581e-88,"0","ENSMUSG00000029333"
5.47510153381923e-175,2.46366578412433,0.593,0.09,1.81647443587521e-170,"0","Zfas1"
2.67264993944281e-243,2.45708134310055,0.805,0.136,8.86705070408942e-239,"0","Rpl6l"
2.27374375667521e-78,2.37134231392499,0.334,0.067,7.54359966152135e-74,"0","Ctla2b"
8.5810262045977e-163,2.30354367715748,0.617,0.113,2.84692706389938e-158,"0","Rps26-ps1"
2.66666056683577e-163,2.28253601237755,0.573,0.091,8.84717976259102e-159,"0","Rpl13-ps3"
2.29563118416513e-282,2.25476111723926,0.952,0.184,7.61621557970466e-278,"0","Gm9843"
2.3993616987854e-283,2.22767503615029,0.953,0.182,7.96036230806034e-279,"0","Rpl23a-ps3"
1.3643743558948e-128,2.21935660692771,0.501,0.088,4.52658480055218e-124,"0","Rpl36-ps3"
4.62127309488815e-100,2.20603840873376,0.411,0.076,1.53319977469104e-95,"0","Septin2"
3.27968278203686e-72,1.95374108002197,0.436,0.129,1.08810035659637e-67,"1","C77080"
6.38296234770094e-59,1.88871910354517,0.381,0.119,2.11767541809674e-54,"1","Lyst"
1.54086363676415e-49,1.8791205145336,0.32,0.094,5.11212328769242e-45,"1","Plpp3"
1.02877362580447e-35,1.63262692311343,0.329,0.127,3.41316225833148e-31,"1","Npy"
3.33383547152911e-101,1.6243008618838,0.752,0.346,1.10606659438921e-96,"1","Ahnak2"
2.66702852513817e-34,1.59199972557204,0.328,0.13,8.84840053785089e-30,"1","Klhdc4"
2.6075053003123e-53,1.58678828310289,0.446,0.172,8.65092033484613e-49,"1","Tst"
2.22299287816308e-77,1.55780747510113,0.62,0.243,7.37522347188166e-73,"1","Cdo1"
1.17652413399438e-53,1.54059766104011,0.457,0.172,3.90335411935316e-49,"1","Ddhd1"
2.69606648812976e-14,1.51300858855202,0.316,0.193,8.94473978766812e-10,"1","Mfge8"
1.9851322133867e-39,2.22084359094567,0.367,0.128,6.58607314435304e-35,"2","Cd36"
2.36185110730088e-41,1.59208674257251,0.587,0.282,7.83591341869212e-37,"2","Lpl"
1.88977879256622e-57,1.56340298483709,0.996,0.979,6.26971910009693e-53,"2","Spp1"
7.06002943198308e-46,1.46809570101186,0.434,0.143,2.34230596464903e-41,"2","Ddx39"
3.32990723542394e-45,1.46419407450533,0.442,0.151,1.1047633234966e-40,"2","Kcnn4"
1.77300140322979e-55,1.33306089052847,0.692,0.31,5.88228675549548e-51,"2","Lilr4b"
8.04349316664882e-62,1.28671549351039,0.851,0.495,2.66858972789908e-57,"2","Pdia6"
3.58006756816876e-27,1.27639026847603,0.304,0.108,1.18775901709135e-22,"2","Zranb3"
2.40111235474002e-84,1.2588189640455,0.954,0.708,7.96617045932098e-80,"2","Calr"
1.17888729526283e-15,1.2364376769074,0.407,0.229,3.91119437949348e-11,"2","Stmn1"
2.34120966765025e-35,1.54823287860475,0.493,0.241,7.76743131436323e-31,"3","Pnp"
1.98145714432561e-49,1.36679653624235,0.674,0.343,6.57388036772907e-45,"3","Tmem119"
4.26860576428147e-33,1.27848780403277,0.475,0.224,1.41619533441566e-28,"3","Rasgef1b"
6.67157956846178e-44,1.25371747891735,0.634,0.312,2.21342995342856e-39,"3","Ppfia4"
6.7738781272331e-48,1.21705613216181,0.692,0.353,2.24736954627212e-43,"3","Vps28"
8.80655199792059e-28,1.19771489535883,0.397,0.17,2.92174975635012e-23,"3","Ptgs1"
2.35728967960688e-43,1.14514155976148,0.721,0.408,7.82077997003173e-39,"3","Tmem176b"
2.37090144089642e-18,1.13401670231328,0.328,0.16,7.86593971046204e-14,"3","Rogdi"
1.1219212933404e-11,1.09953716565848,0.306,0.179,3.72219827491544e-07,"3","Dennd4a"
1.62234852625514e-23,1.07682538216327,0.438,0.224,5.38246570555669e-19,"3","Tmcc3"
1.67234399256949e-97,3.77457810941616,0.368,0.035,5.54833566414778e-93,"4","Tspan7"
2.12706886033549e-123,3.43629857521384,0.858,0.272,7.05697635793506e-119,"4","Sparc"
1.05643900139572e-87,3.37003928191697,0.66,0.18,3.50494767493059e-83,"4","Cst7"
3.23013190485516e-53,2.83604905334603,0.375,0.077,1.0716608620738e-48,"4","Gpr84"
8.69998249388259e-71,2.78089682920064,0.391,0.059,2.88639319199543e-66,"4","Xlr"
2.85975459585197e-20,2.73581190900699,0.719,0.483,9.48780782265808e-16,"4","Apoc1"
2.44780257453882e-72,2.71455422954795,0.672,0.224,8.12107460154745e-68,"4","Serpine2"
3.99431004604236e-52,2.65437016500648,0.419,0.097,1.32519224397547e-47,"4","Bcl2a1a"
1.33654706637831e-64,2.59368299981188,0.451,0.093,4.4342622021233e-60,"4","Cadm1"
1.36819206723826e-42,2.46603922161548,0.356,0.082,4.53925082147639e-38,"4","Ctsf"
1.01323524138851e-265,8.04018261955553,0.667,0.024,3.36161056035465e-261,"5","Plac8"
1.72721403622705e-218,6.76605082358357,0.616,0.029,5.73037800799048e-214,"5","Ifitm6"
4.66593257990735e-208,6.5527221061007,0.638,0.036,1.54801645203586e-203,"5","Ly6c2"
1.0507919355715e-138,6.11813706418114,0.599,0.062,3.48621240464556e-134,"5","Hp"
3.13586731007393e-147,5.8951185696926,0.469,0.027,1.04038669746323e-142,"5","Mcemp1"
8.08598844152641e-11,5.42418802832185,0.61,0.506,2.68268838524522e-06,"5","S100a8"
1.49436961079773e-222,5.19621834387869,0.966,0.123,4.95787005774363e-218,"5","S100a4"
5.41421521576051e-205,5.07328652338166,0.684,0.045,1.79627418213287e-200,"5","Ccr2"
1.49975037005027e-85,4.88932828237061,0.328,0.025,4.97572180271579e-81,"5","Itgb7"
3.55969124136716e-58,4.88304378811973,0.61,0.19,1.18099876314838e-53,"5","Chil3"
1.5901250251235e-164,9.11294291514189,0.342,0.003,5.27555779585224e-160,"6","Cd163"
