"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",4.96686031482967e-127,1.64583497175777,0.484,0.207,8.86981915022282e-123,"0","F7"
"2",1.10810289999894e-173,1.59517041957793,0.745,0.406,1.9788501588181e-169,"0","Fabp4"
"3",8.05041018193753e-215,1.47100827309604,0.823,0.466,1.4376422502904e-210,"0","Cd36"
"4",4.00084817297048e-116,1.4323083539706,0.538,0.266,7.14471466729068e-112,"0","Il7r"
"5",0,1.38648590042311,0.999,0.945,0,"0","Lgals3"
"6",1.25015799178604e-158,1.35856297969486,0.694,0.359,2.23253214173152e-154,"0","Anxa1"
"7",2.03932530289267e-66,1.34040782216112,0.376,0.186,3.64182712590574e-62,"0","Mmp8"
"8",3.10575762377192e-165,1.32546980644963,0.869,0.588,5.54626196453189e-161,"0","Lpl"
"9",2.1654684117474e-26,1.29647061532177,0.43,0.312,3.8670934896985e-22,"0","Mfge8"
"10",5.21247184384774e-271,1.29521726908399,1,0.996,9.3084322187433e-267,"0","Spp1"
"11",1.86944286175402e-19,1.16197423639898,0.341,0.278,3.33845106252033e-15,"1","Rapsn"
"12",1.72906602781797e-101,1.03199530282088,0.754,0.634,3.08776611247733e-97,"1","2410006H16Rik"
"13",3.46998684431836e-208,2.14678398492031,0.361,0.065,6.19670250658374e-204,"2","Sall1"
"14",2.24923788663586e-218,1.95168786582815,0.517,0.142,4.01668901795432e-214,"2","Lag3"
"15",2.14463165726226e-151,1.87887713241579,0.32,0.071,3.82988321353895e-147,"2","Nav3"
"16",0,1.86096735323268,0.945,0.408,0,"2","Sparc"
"17",5.6557855103611e-304,1.7705734475765,0.584,0.131,1.01001017644028e-299,"2","Siglech"
"18",1.76077313947601e-171,1.75654339872168,0.45,0.128,3.14438867247626e-167,"2","Gpr84"
"19",1.31402560890622e-139,1.63632400986906,0.369,0.101,2.34658693238473e-135,"2","Slc12a2"
"20",1.59361044225639e-170,1.47826556962991,0.442,0.119,2.84586952778146e-166,"2","Cd34"
"21",1.52189433021272e-202,1.44904274232218,0.698,0.275,2.71779889489388e-198,"2","P2ry12"
"22",4.03932746003451e-151,1.40795500247724,0.464,0.147,7.21343097812962e-147,"2","Tanc2"
"23",0,6.53439238623134,0.562,0.011,0,"3","Esco2"
"24",0,6.08401223995395,0.778,0.04,0,"3","Hist1h1b"
"25",0,5.99784063279259,0.503,0.013,0,"3","Hist1h2ab"
"26",0,5.97069279341634,0.528,0.013,0,"3","Hist1h3c"
"27",0,5.79312379786944,0.327,0.008,0,"3","Ccne2"
"28",0,5.67473546705628,0.32,0.006,0,"3","Hist1h1a"
"29",0,5.61064790088343,0.645,0.029,0,"3","Hist1h2ap"
"30",0,5.522756873707,0.717,0.033,0,"3","Rrm2"
"31",0,5.40142343889699,0.71,0.054,0,"3","Hist1h2ae"
"32",0,5.22181221257946,0.63,0.027,0,"3","Clspn"
"33",2.02291308475541e-97,2.60497705937451,0.483,0.183,3.6125181867562e-93,"4","Gdf15"
"34",7.86109274723091e-95,1.93724096387116,0.495,0.191,1.4038339428005e-90,"4","Fbxo32"
"35",1.09971847102171e-120,1.90824176142485,0.588,0.232,1.96387724555057e-116,"4","Cdo1"
"36",4.01559065269166e-134,1.85473427396066,0.643,0.26,7.17104178757677e-130,"4","Plpp3"
"37",1.44730412742788e-61,1.73398672015308,0.37,0.149,2.58459571076072e-57,"4","Gadd45a"
"38",8.0822683396369e-124,1.72264548722161,0.735,0.366,1.44333148009236e-119,"4","Gstm1"
"39",3.27763526527071e-141,1.71784586201232,0.799,0.436,5.85320105672044e-137,"4","Rilpl2"
"40",9.01257152030502e-78,1.70995702397316,0.449,0.184,1.60946502209607e-73,"4","Capn15"
"41",2.03249144920584e-165,1.70850159398804,0.796,0.373,3.62962322999179e-161,"4","Hpse"
"42",3.48616734039488e-59,1.67161800777838,0.373,0.151,6.22559763647718e-55,"4","Mcoln3"
"43",0,4.51799212427827,0.623,0.05,0,"5","Cdc20"
"44",0,4.21873968401932,0.695,0.068,0,"5","Cdkn3"
"45",4.09568270431457e-224,4.19834858171065,0.317,0.022,7.31407017336496e-220,"5","Nek2"
"46",0,4.04024101683214,0.747,0.084,0,"5","Cenpf"
"47",0,4.00194650905085,0.595,0.068,0,"5","Ccnb1"
"48",0,3.98729623248823,0.709,0.07,0,"5","Hmmr"
"49",1.65775802532653e-270,3.98689822748813,0.451,0.043,2.96042428162811e-266,"5","Aspm"
"50",0,3.9437673771054,0.784,0.09,0,"5","Ccnb2"
"51",9.97195932959923e-227,3.93365553890492,0.403,0.041,1.78079249707983e-222,"5","Kif20a"
"52",0,3.8839147344541,0.756,0.103,0,"5","Ube2c"
"53",0,7.1683412993043,0.425,0.008,0,"6","Klrd1"
"54",0,6.59242568249125,0.345,0.007,0,"6","Jaml"
"55",0,6.53309173289668,0.375,0.016,0,"6","Ifitm6"
"56",0,6.27274133330828,0.528,0.015,0,"6","Plac8"
"57",0,5.94259884663611,0.459,0.011,0,"6","Ciita"
"58",6.22679823855369e-183,5.3076482941762,0.3,0.026,1.11198162944092e-178,"6","H2-DMb2"
"59",1.32848012392238e-196,5.20588088551294,0.302,0.024,2.37239980530059e-192,"6","Mcemp1"
"60",0,5.10990003663695,0.784,0.164,0,"6","H2-Ab1"
"61",0,5.02572070854905,0.78,0.109,0,"6","H2-Aa"
"62",0,5.01137119391366,0.746,0.098,0,"6","H2-Eb1"
"63",1.01781967171651e-118,3.49539564869739,0.322,0.037,1.81762236975134e-114,"7","C4b"
"64",8.55220286471639e-98,3.44528403238213,0.456,0.096,1.52725238758105e-93,"7","Lyz1"
"65",7.59647412940275e-129,3.0601135013864,0.837,0.308,1.35657835002874e-124,"7","Apoc4"
"66",1.26160616903898e-103,2.86206166291951,0.531,0.123,2.2529762966698e-99,"7","Colec12"
"67",8.75775197957477e-62,2.5714365784465,0.355,0.083,1.56395934851246e-57,"7","Adarb1"
"68",4.082885846051e-16,2.33185660112316,0.645,0.463,7.29121754387787e-12,"7","Apoc1"
"69",2.33732746142171e-63,1.97491075473411,0.58,0.212,4.1739993806069e-59,"7","Siglec1"
"70",2.57822616211431e-35,1.95421735488171,0.329,0.108,4.60419628030373e-31,"7","1700003F12Rik"
"71",1.85854820134143e-41,1.94577584922835,0.391,0.132,3.31899537795553e-37,"7","Etv1"
"72",4.42090148146984e-63,1.84068379118117,0.707,0.33,7.89484586560884e-59,"7","Folr2"
"73",0,8.44125529498549,0.504,0.008,0,"8","Cd163"
"74",4.82584383268735e-180,5.17619983536047,0.462,0.022,8.61799191641307e-176,"8","Mgl2"
"75",1.3297505677294e-89,5.13215525900405,0.761,0.164,2.37466856385116e-85,"8","Mrc1"
"76",6.38414670868383e-46,4.52535023811301,0.316,0.044,1.14008091923676e-41,"8","C4b"
"77",9.59856905598433e-45,4.48625673635262,0.35,0.056,1.71411246201768e-40,"8","Lifr"
"78",1.33048255503285e-38,4.06662321514527,0.325,0.055,2.37597574677766e-34,"8","Clec4a1"
"79",1.36103052677868e-109,3.82439895505878,0.786,0.127,2.43052831472136e-105,"8","H2-Eb1"
"80",4.79450127170667e-81,3.68767762095614,0.872,0.24,8.56202037101377e-77,"8","Cd74"
