"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.3993616987854e-283,2.22767503615029,0.953,0.182,7.96036230806034e-279,"0","Rpl23a-ps3"
2.29563118416513e-282,2.25476111723926,0.952,0.184,7.61621557970466e-278,"0","Gm9843"
2.07516839959513e-248,1.54477779483573,1,0.985,6.88478619933677e-244,"0","Rpl13a"
2.67264993944281e-243,2.45708134310055,0.805,0.136,8.86705070408942e-239,"0","Rpl6l"
1.82856360825683e-236,2.12766433689556,0.928,0.327,6.0666254831137e-232,"0","Rps12-ps3"
2.11366443953957e-216,1.30670455345056,0.989,0.946,7.01250451106042e-212,"0","Lamp1"
3.51504062494953e-214,2.06104965064465,0.783,0.141,1.16618502813951e-209,"0","Gm8730"
1.36905421689765e-199,1.82889615826771,0.933,0.515,4.54211117540133e-195,"0","Bri3"
5.28024513445022e-184,1.66985504992113,0.925,0.612,1.75182692825655e-179,"0","Gm10076"
5.47510153381923e-175,2.46366578412433,0.593,0.09,1.81647443587521e-170,"0","Zfas1"
2.27048331584021e-132,1.17185088901725,0.999,0.858,7.53278249696308e-128,"1","Gpnmb"
3.33383547152911e-101,1.6243008618838,0.752,0.346,1.10606659438921e-96,"1","Ahnak2"
7.9307764146358e-80,1.43956973601349,0.745,0.374,2.63119369108372e-75,"1","Cd24a"
2.22299287816308e-77,1.55780747510113,0.62,0.243,7.37522347188166e-73,"1","Cdo1"
3.27968278203686e-72,1.95374108002197,0.436,0.129,1.08810035659637e-67,"1","C77080"
6.7940297785871e-64,1.24640643448204,0.678,0.333,2.25405525964184e-59,"1","Hpse"
6.38296234770094e-59,1.88871910354517,0.381,0.119,2.11767541809674e-54,"1","Lyst"
2.2574236459107e-58,1.1922734213097,0.739,0.439,7.48945443003793e-54,"1","Psmd1"
6.12502538433033e-58,1.336626397804,0.583,0.26,2.03209967175927e-53,"1","Fabp4"
2.22063519021483e-57,1.0784358729243,0.714,0.388,7.36740137057575e-53,"1","Cd300lf"
