"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.66740066648687,0.851,0.297,0,"0","Ifi30"
"2",0,1.13750166286018,0.903,0.363,0,"0","Gm49339"
"3",0,1.4065629810015,0.766,0.256,0,"0","ENSMUSG00000089672"
"4",0,1.53481142512876,0.665,0.214,0,"0","AI662270"
"5",0,1.24842078293758,0.765,0.315,0,"0","Atp5o"
"6",0,1.50016377437885,0.579,0.175,0,"0","Gm49342"
"7",0,1.36361019717731,0.826,0.45,0,"0","Rab5if"
"8",0,1.10629818402698,0.807,0.435,0,"0","Metrnl"
"9",0,1.42944334632946,0.737,0.379,0,"0","Tmem160"
"10",0,1.24479312492113,0.784,0.437,0,"0","Bag1"
"11",0,1.45709809280983,0.683,0.217,0,"1","Vps28"
"12",0,2.05173268094917,0.676,0.213,0,"1","Gm1673"
"13",0,1.57686711661295,0.707,0.264,0,"1","Gpx3"
"14",0,1.3116690809156,0.847,0.445,0,"1","Rtcb"
"15",0,1.54070987878979,0.876,0.479,0,"1","Gyg"
"16",0,1.72810846511355,0.584,0.199,0,"1","Igf1"
"17",0,1.08218270478953,0.978,0.608,0,"1","Syngr1"
"18",0,1.44181671433898,0.954,0.601,0,"1","Gpnmb"
"19",0,1.27664594127542,0.902,0.574,0,"1","Pld3"
"20",0,1.24929766899057,0.992,0.665,0,"1","Selenop"
"21",0,1.72016239759556,0.842,0.235,0,"2","Lilr4b"
"22",0,1.22390064450921,0.891,0.371,0,"2","Pgk1"
"23",0,1.8039015452001,0.72,0.214,0,"2","Vps28"
"24",0,1.59083794591914,0.576,0.167,0,"2","Pnp"
"25",0,1.48785257620801,0.952,0.746,0,"2","Fabp5"
"26",0,1.01508666107263,0.949,0.751,0,"2","Ftl1-ps1"
"27",0,1.01460702318797,1,1,0,"2","Ftl1"
"28",3.94944705914612e-284,1.42482602302668,0.936,0.705,1.31030805081291e-279,"2","Hmox1"
"29",2.0790702800226e-283,1.25498300979197,0.704,0.301,6.89773146803099e-279,"2","Mbp"
"30",3.91193448226805e-224,1.00202091511785,0.998,0.966,1.29786250318207e-219,"2","Spp1"
"31",0,2.32112566777085,0.93,0.396,0,"3","Gm49339"
"32",0,2.01006235542455,0.867,0.383,0,"3","F10"
"33",0,2.04365883796933,0.758,0.293,0,"3","ENSMUSG00000089672"
"34",0,2.90548047157351,0.537,0.086,0,"3","Cxcl3"
"35",0,2.55970997401605,0.967,0.523,0,"3","Ccl9"
"36",0,2.43243734631481,0.958,0.528,0,"3","Arg1"
"37",0,2.14415994075357,0.63,0.208,0,"3","Ccr2"
"38",0,2.16558378628954,0.785,0.37,0,"3","Cxcl2"
"39",0,2.24190695970964,0.528,0.128,0,"3","Ltb4r1"
"40",0,2.25998038924897,0.778,0.406,0,"3","Clec4n"
"41",0,1.76802330302466,0.939,0.381,0,"4","Rpl23a-ps3"
"42",0,1.8683597393231,0.937,0.387,0,"4","Gm9843"
"43",0,1.7875580722543,0.8,0.299,0,"4","Rpl6l"
"44",0,1.83976880921526,0.898,0.401,0,"4","Rps12-ps3"
"45",0,2.31767849187184,0.616,0.189,0,"4","Zfas1"
"46",0,2.11556538210393,0.902,0.483,0,"4","Timp2"
"47",0,1.46576878845094,0.981,0.68,0,"4","Selenop"
"48",0,1.66005125343416,0.945,0.654,0,"4","Eif3f"
"49",0,1.61144211795364,0.982,0.79,0,"4","Rps27rt"
"50",0,1.06546904744191,0.984,0.807,0,"4","Hexb"
"51",0,2.82155880073182,0.911,0.431,0,"5","Pgk1"
"52",0,2.04784480687074,1,0.81,0,"5","S100a6"
"53",5.55799689915494e-288,1.95547824500465,0.997,0.778,1.84397663123264e-283,"5","S100a10"
