"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.13442804366188,0.996,0.877,0,"0","Plin2"
"2",0,1.15150964459,0.999,0.928,0,"0","Lgals1"
"3",0,1.38648590042311,0.999,0.945,0,"0","Lgals3"
"4",2.26537976217717e-293,1.21212789539717,0.999,0.946,4.04551517929598e-289,"0","Fabp5"
"5",5.21247184384774e-271,1.29521726908399,1,0.996,9.3084322187433e-267,"0","Spp1"
"6",1.03516111980144e-230,1.0895317909734,0.937,0.686,1.84859072774141e-226,"0","Anxa2"
"7",8.05041018193753e-215,1.47100827309604,0.823,0.466,1.4376422502904e-210,"0","Cd36"
"8",1.10810289999894e-173,1.59517041957793,0.745,0.406,1.9788501588181e-169,"0","Fabp4"
"9",3.10575762377192e-165,1.32546980644963,0.869,0.588,5.54626196453189e-161,"0","Lpl"
"10",1.25015799178604e-158,1.35856297969486,0.694,0.359,2.23253214173152e-154,"0","Anxa1"
"11",1.72906602781797e-101,1.03199530282088,0.754,0.634,3.08776611247733e-97,"1","2410006H16Rik"
"12",1.86944286175402e-19,1.16197423639898,0.341,0.278,3.33845106252033e-15,"1","Rapsn"
"13",0,1.86096735323268,0.945,0.408,0,"2","Sparc"
"14",5.6557855103611e-304,1.7705734475765,0.584,0.131,1.01001017644028e-299,"2","Siglech"
"15",1.13889121176443e-267,1.12741030574093,0.967,0.574,2.03383192596891e-263,"2","Cd81"
"16",3.47652938713382e-261,1.3719146354476,0.838,0.331,6.20838617954358e-257,"2","Gpr34"
"17",9.28815265409426e-241,1.30522465854705,0.742,0.26,1.65867830096815e-236,"2","Plxdc2"
"18",1.32481677937735e-223,1.31242558497566,0.906,0.505,2.36585780461207e-219,"2","Egr1"
"19",2.24923788663586e-218,1.95168786582815,0.517,0.142,4.01668901795432e-214,"2","Lag3"
"20",7.25211309790173e-209,1.0025357319344,0.691,0.236,1.29508235702329e-204,"2","Serpine2"
"21",3.46998684431836e-208,2.14678398492031,0.361,0.065,6.19670250658374e-204,"2","Sall1"
"22",1.52189433021272e-202,1.44904274232218,0.698,0.275,2.71779889489388e-198,"2","P2ry12"
"23",0,4.79838799535705,0.888,0.076,0,"3","Pclaf"
"24",0,4.21105061467326,0.897,0.093,0,"3","Top2a"
"25",0,6.08401223995395,0.778,0.04,0,"3","Hist1h1b"
"26",0,3.46352720774972,0.847,0.115,0,"3","Mki67"
"27",0,3.15041696324899,0.874,0.162,0,"3","Smc2"
"28",0,3.53649352726336,0.824,0.116,0,"3","Cdk1"
"29",0,4.79327846379096,0.741,0.047,0,"3","Tk1"
"30",0,3.53456566743125,0.804,0.119,0,"3","Rrm1"
"31",0,5.522756873707,0.717,0.033,0,"3","Rrm2"
"32",0,3.0331873950408,0.973,0.304,0,"3","Stmn1"
"33",1.13062101001499e-184,1.21332250040478,0.997,0.923,2.01906299968476e-180,"4","Gpnmb"
"34",2.03249144920584e-165,1.70850159398804,0.796,0.373,3.62962322999179e-161,"4","Hpse"
"35",2.50888779798337e-163,1.29589605492231,0.996,0.905,4.48037182963871e-159,"4","Txn1"
"36",3.26861135621141e-154,1.0452494207564,0.973,0.843,5.83708615992234e-150,"4","Pld3"
"37",3.27763526527071e-141,1.71784586201232,0.799,0.436,5.85320105672044e-137,"4","Rilpl2"
"38",4.01559065269166e-134,1.85473427396066,0.643,0.26,7.17104178757677e-130,"4","Plpp3"
"39",8.0822683396369e-124,1.72264548722161,0.735,0.366,1.44333148009236e-119,"4","Gstm1"
"40",3.68286985180645e-123,1.61848813728727,0.706,0.329,6.57686898135595e-119,"4","Ddhd1"
"41",6.74415752888114e-122,1.45106517352259,0.759,0.399,1.20437165150759e-117,"4","Ahnak2"
"42",1.09971847102171e-120,1.90824176142485,0.588,0.232,1.96387724555057e-116,"4","Cdo1"
"43",0,3.4509900072012,0.864,0.126,0,"5","Birc5"
"44",0,3.9437673771054,0.784,0.09,0,"5","Ccnb2"
"45",0,3.4585426990182,0.85,0.174,0,"5","Cenpa"
"46",0,4.04024101683214,0.747,0.084,0,"5","Cenpf"
"47",0,3.8839147344541,0.756,0.103,0,"5","Ube2c"
"48",0,3.98729623248823,0.709,0.07,0,"5","Hmmr"
"49",0,4.21873968401932,0.695,0.068,0,"5","Cdkn3"
"50",0,3.17727570802391,0.737,0.111,0,"5","Cdca3"
"51",0,4.51799212427827,0.623,0.05,0,"5","Cdc20"
"52",0,3.35272976734331,0.665,0.094,0,"5","Tpx2"
"53",0,5.02572070854905,0.78,0.109,0,"6","H2-Aa"
"54",0,5.01137119391366,0.746,0.098,0,"6","H2-Eb1"
"55",0,4.9022174840887,0.744,0.103,0,"6","Plbd1"
"56",0,4.45994081533074,0.683,0.06,0,"6","Ccr2"
"57",0,5.10990003663695,0.784,0.164,0,"6","H2-Ab1"
"58",0,6.27274133330828,0.528,0.015,0,"6","Plac8"
"59",0,4.60173552341122,0.5,0.043,0,"6","Rnase6"
"60",0,5.94259884663611,0.459,0.011,0,"6","Ciita"
"61",0,7.1683412993043,0.425,0.008,0,"6","Klrd1"
"62",0,6.53309173289668,0.375,0.016,0,"6","Ifitm6"
"63",7.59647412940275e-129,3.0601135013864,0.837,0.308,1.35657835002874e-124,"7","Apoc4"
"64",1.01781967171651e-118,3.49539564869739,0.322,0.037,1.81762236975134e-114,"7","C4b"
"65",8.24052379772425e-108,1.18916563248018,1,0.934,1.4715927397976e-103,"7","Timp2"
"66",1.33819335154783e-104,1.8276088718643,0.906,0.38,2.38974568719412e-100,"7","Ctla2a"
"67",1.26160616903898e-103,2.86206166291951,0.531,0.123,2.2529762966698e-99,"7","Colec12"
"68",8.55220286471639e-98,3.44528403238213,0.456,0.096,1.52725238758105e-93,"7","Lyz1"
"69",1.72832730678013e-76,1.30100199894292,0.961,0.689,3.08644690444795e-72,"7","Pmepa1"
"70",4.15906422146627e-64,1.55670858012857,0.792,0.397,7.42725688669447e-60,"7","Plaat3"
"71",6.07431744444727e-64,1.12332418230609,0.984,0.886,1.08475160922939e-59,"7","Trf"
"72",7.2964630563192e-64,1.36436775201633,0.524,0.159,1.30300237259748e-59,"7","Mrc1"
"73",0,8.44125529498549,0.504,0.008,0,"8","Cd163"
"74",4.82584383268735e-180,5.17619983536047,0.462,0.022,8.61799191641307e-176,"8","Mgl2"
"75",1.36103052677868e-109,3.82439895505878,0.786,0.127,2.43052831472136e-105,"8","H2-Eb1"
